1101,11,KABUPATEN SIMEULUE
1102,11,KABUPATEN ACEH SINGKIL
1103,11,KABUPATEN ACEH SELATAN
1104,11,KABUPATEN ACEH TENGGARA
1105,11,KABUPATEN ACEH TIMUR
1106,11,KABUPATEN ACEH TENGAH
1107,11,KABUPATEN ACEH BARAT
1108,11,KABUPATEN ACEH BESAR
1109,11,KABUPATEN PIDIE
1110,11,KABUPATEN BIREUEN
1111,11,KABUPATEN ACEH UTARA
1112,11,KABUPATEN ACEH BARAT DAYA
1113,11,KABUPATEN GAYO LUES
1114,11,KABUPATEN ACEH TAMIANG
1115,11,KABUPATEN NAGAN RAYA
1116,11,KABUPATEN ACEH JAYA
1117,11,KABUPATEN BENER MERIAH
1118,11,KABUPATEN PIDIE JAYA
1171,11,KOTA BANDA ACEH
1172,11,KOTA SABANG
1173,11,KOTA LANGSA
1174,11,KOTA LHOKSEUMAWE
1175,11,KOTA SUBULUSSALAM
1201,11,KABUPATEN NIAS
1202,11,KABUPATEN MANDAILING NATAL
1203,11,KABUPATEN TAPANULI SELATAN
1204,11,KABUPATEN TAPANULI TENGAH
1205,11,KABUPATEN TAPANULI UTARA
1206,11,KABUPATEN TOBA SAMOSIR
1207,11,KABUPATEN LABUHAN BATU
1208,11,KABUPATEN ASAHAN
1209,11,KABUPATEN SIMALUNGUN
1210,11,KABUPATEN DAIRI
1211,11,KABUPATEN KARO
1212,11,KABUPATEN DELI SERDANG
1213,11,KABUPATEN LANGKAT
1214,11,KABUPATEN NIAS SELATAN
1215,11,KABUPATEN HUMBANG HASUNDUTAN
1216,11,KABUPATEN PAKPAK BHARAT
1217,11,KABUPATEN SAMOSIR
1218,11,KABUPATEN SERDANG BEDAGAI
1219,11,KABUPATEN BATU BARA
1220,11,KABUPATEN PADANG LAWAS UTARA
1221,11,KABUPATEN PADANG LAWAS
1222,11,KABUPATEN LABUHAN BATU SELATAN
1223,11,KABUPATEN LABUHAN BATU UTARA
1224,11,KABUPATEN NIAS UTARA
1225,11,KABUPATEN NIAS BARAT
1271,11,KOTA SIBOLGA
1272,11,KOTA TANJUNG BALAI
1273,11,KOTA PEMATANG SIANTAR
1274,11,KOTA TEBING TINGGI
1275,11,KOTA MEDAN
1276,11,KOTA BINJAI
1277,11,KOTA PADANGSIDIMPUAN
1278,11,KOTA GUNUNGSITOLI
1301,11,KABUPATEN KEPULAUAN MENTAWAI
1302,11,KABUPATEN PESISIR SELATAN
1303,11,KABUPATEN SOLOK
1304,11,KABUPATEN SIJUNJUNG
